object_id,cluster_id,rgb_value,occurence,r_value,g_value,b_value,h_value,s_value,v_value
261,Cluster1,"(180, 120, 60)",4,180,120,60,30,0.67,0.71
263,Cluster2,"(180, 105, 45)",2,180,105,45,26.67,0.75,0.71
266,Cluster1,"(150, 45, 45)",1,150,45,45,0,0.7,0.59
266,Cluster4,"(105, 90, 90)",41,105,90,90,0,0.14,0.41
267,Cluster2,"(180, 120, 30)",1,180,120,30,36,0.83,0.71
268,Cluster2,"(165, 60, 30)",2,165,60,30,13.33,0.82,0.65
268,Cluster1,"(225, 165, 105)",1,225,165,105,30,0.53,0.88
271,Cluster3,"(180, 165, 105)",2,180,165,105,48,0.42,0.71
271,Cluster2,"(60, 75, 45)",4,60,75,45,90,0.4,0.29
273,Cluster4,"(225, 165, 45)",1,225,165,45,40,0.8,0.88
275,Cluster1,"(165, 90, 45)",3,165,90,45,22.5,0.73,0.65
275,Cluster5,"(180, 195, 195)",2,180,195,195,180,0.08,0.76
277,Cluster1,"(135, 75, 30)",4,135,75,30,25.71,0.78,0.53
277,Cluster3,"(210, 150, 105)",2,210,150,105,25.71,0.5,0.82
277,Cluster2,"(240, 210, 165)",4,240,210,165,36,0.31,0.94
278,Cluster1,"(135, 60, 45)",2,135,60,45,10,0.67,0.53
278,Cluster2,"(0, 15, 0)",1,0,15,0,120,1,0.06
280,Cluster5,"(165, 135, 135)",5,165,135,135,0,0.18,0.65
298,Cluster2,"(135, 90, 75)",9,135,90,75,15,0.44,0.53
300,Cluster2,"(225, 180, 120)",4,225,180,120,34.29,0.47,0.88
301,Cluster4,"(195, 150, 75)",6,195,150,75,37.5,0.62,0.76
304,Cluster2,"(210, 195, 135)",2,210,195,135,48,0.36,0.82
313,Cluster2,"(255, 255, 255)",24,255,255,255,0,0,1
321,Cluster5,"(75, 60, 60)",56,75,60,60,0,0.2,0.29
331,Cluster2,"(255, 225, 195)",1,255,225,195,30,0.24,1
333,Cluster4,"(45, 30, 45)",1,45,30,45,300,0.33,0.18
334,Cluster3,"(240, 225, 165)",2,240,225,165,48,0.31,0.94
337,Cluster4,"(105, 135, 120)",1,105,135,120,150,0.22,0.53
342,Cluster4,"(45, 60, 75)",4,45,60,75,210,0.4,0.29
342,Cluster2,"(75, 75, 90)",3,75,75,90,240,0.17,0.35
353,Cluster4,"(60, 105, 135)",1,60,105,135,204,0.56,0.53
353,Cluster3,"(30, 60, 90)",4,30,60,90,210,0.67,0.35
369,Cluster1,"(225, 210, 210)",14,225,210,210,0,0.07,0.88
380,Cluster2,"(210, 120, 105)",1,210,120,105,8.57,0.5,0.82
385,Cluster3,"(165, 90, 75)",1,165,90,75,10,0.55,0.65
386,Cluster3,"(180, 195, 180)",4,180,195,180,120,0.08,0.76
387,Cluster4,"(180, 60, 75)",1,180,60,75,352.5,0.67,0.71
390,Cluster4,"(195, 75, 75)",1,195,75,75,0,0.62,0.76
395,Cluster3,"(90, 135, 105)",1,90,135,105,140,0.33,0.53
398,Cluster3,"(180, 75, 60)",2,180,75,60,7.5,0.67,0.71
400,Cluster2,"(195, 90, 75)",1,195,90,75,7.5,0.62,0.76
400,Cluster1,"(225, 195, 135)",6,225,195,135,40,0.4,0.88
402,Cluster1,"(135, 45, 45)",2,135,45,45,0,0.67,0.53
402,Cluster5,"(135, 135, 150)",2,135,135,150,240,0.1,0.59
403,Cluster5,"(150, 180, 195)",1,150,180,195,200,0.23,0.76
404,Cluster1,"(255, 255, 225)",5,255,255,225,60,0.12,1
407,Cluster1,"(240, 180, 30)",1,240,180,30,42.86,0.88,0.94
407,Cluster2,"(150, 60, 60)",1,150,60,60,0,0.6,0.59
408,Cluster2,"(255, 255, 240)",6,255,255,240,60,0.06,1
409,Cluster5,"(0, 150, 135)",1,0,150,135,174,1,0.59
410,Cluster4,"(180, 90, 75)",2,180,90,75,8.57,0.58,0.71
413,Cluster4,"(195, 120, 105)",1,195,120,105,10,0.46,0.76
419,Cluster4,"(75, 90, 120)",2,75,90,120,220,0.37,0.47
430,Cluster3,"(225, 180, 75)",1,225,180,75,42,0.67,0.88
460,Cluster2,"(135, 165, 120)",1,135,165,120,100,0.27,0.65
491,Cluster4,"(180, 150, 45)",1,180,150,45,46.67,0.75,0.71
525,Cluster2,"(210, 165, 135)",11,210,165,135,24,0.36,0.82
535,Cluster1,"(210, 165, 150)",2,210,165,150,15,0.29,0.82
543,Cluster5,"(180, 135, 120)",2,180,135,120,15,0.33,0.71
545,Cluster5,"(210, 195, 105)",1,210,195,105,51.43,0.5,0.82
545,Cluster1,"(240, 225, 135)",2,240,225,135,51.43,0.44,0.94
546,Cluster1,"(240, 210, 120)",2,240,210,120,45,0.5,0.94
564,Cluster3,"(195, 120, 75)",1,195,120,75,22.5,0.62,0.76
566,Cluster5,"(150, 105, 90)",6,150,105,90,15,0.4,0.59
